name,equipment,primary_muscle,secondary_muscle,source,sourceType
Split Squat (Dumbbell),Dumbbell,Quadriceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/29601201-Dumbbell-Split-Squat_Thighs.mp4,video
Sprints,None,Cardio,None,None,None
Squat (Band),Resistance Band,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/10041101-Band-squat_Hips_small.jpg,image
Squat (Barbell),Barbell,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00431201-Barbell-Full-Squat_Thighs.mp4,video
Squat (Bodyweight),None,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/11971201-Squat-m_Thighs.mp4,video
Squat (Dumbbell),Dumbbell,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/15551101-Dumbbell-Squat_Thighs_small.jpg,image
Squat (Machine),Machine,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/10391101-Lever-Full-Squat_Thighs_small.jpg,image
Squat (Smith Machine),Machine,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/07501201-Smith-Chair-Squat_Thighs.mp4,video
Squat (Suspension),Suspension,Quadriceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/11431101-Suspender-Squat_Thighs_small.jpg,image
Squat Row,Machine,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/25501101-Cable-Squat-Row-(with-rope-attachment)-(female)_Back_Thighs_small.jpg,image
Stair Machine,Machine,Cardio,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/23111201-Walking-on-Stepmill_Cardio.mp4,video
Standing Cable Glute Kickbacks,Machine,Glutes,None,None,None
Standing Calf Raise,None,Calves,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/13731101-Bodyweight-Standing-Calf-Raise_Calves_small.jpg,image
Standing Calf Raise (Barbell),Barbell,Calves,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01081101-Barbell-Standing-Leg-Calf-Raise_Calf_small.jpg,image
Standing Calf Raise (Dumbbell),Dumbbell,Calves,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04171201-Dumbbell-Standing-Calf-Raise_Calves.mp4,video
Standing Calf Raise (Machine),Machine,Calves,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06051201-Lever-Standing-Calf-Raise_Calves.mp4,video
Standing Calf Raise (Smith),Machine,Calves,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/11641201-Smith-Calf-Raise-(version-2)_Calves.mp4,video
Standing Leg Curls,Machine,Hamstrings,None,None,None
Standing Military Press (Barbell),Barbell,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/11651201-Barbell-Standing-Military-Press-(without-rack)_Shoulders.mp4,video
Step Up,Other,Quadriceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08011101-Step-up_Hips_small.jpg,image
Sternum Pull up (Gironda),Machine,Lats,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04661101-Gironda-Sternum-Chin_Back_small.jpg,image
Straight Arm Lat Pulldown (Cable),Machine,Lats,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02381201-Cable-Straight-Arm-Pulldown_Back.mp4,video
Straight Leg Deadlift,Barbell,Hamstrings,Glutes,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01161201-Barbell-Straight-Leg-Deadlift_Thighs.mp4,video
Stretching,None,Other,None,None,None
Sumo Deadlift,Barbell,Hamstrings,"Quadriceps, Lower Back, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01171201-Barbell-Sumo-Deadlift_Hips.mp4,video
Sumo Squat,None,Quadriceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/10641201-Sumo-Squat-(male)_Thighs-FIX_.mp4,video
Sumo Squat (Barbell),Barbell,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/10631201-Barbell-sumo-squat_Thighs.mp4,video
Sumo Squat (Dumbbell),Dumbbell,Quadriceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/23221201-Dumbbell-Sumo-Squat-(female)_Thighs_.mp4,video
Sumo Squat (Kettlebell),Kettlebell,Quadriceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/40891201-Kettlebell-Sumo-Squat-(male)_Hips_.mp4,video
Superman,None,Lower Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08041101-Superman_Waist_small.jpg,image
Swimming,None,Cardio,None,None,None
T Bar Row,Barbell,Upper Back,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06061201-Lever-T-bar-Row-(plate-loaded)_Back.mp4,video
Thruster (Barbell),Barbell,Full Body,None,None,None
Thruster (Kettlebell),Kettlebell,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05501101-Kettlebell-Thruster_Shoulders_small.jpg,image
Toe Touch,None,Abdominals,None,None,None
Toes to Bar,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04741201-Hanging-Straight-Leg-Hip-Raise_Waist.mp4,video
Torso Rotation,Machine,Abdominals,None,None,None
Treadmill,Machine,Cardio,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/21971201-Run-on-Treadmill-(female)_Cardio.mp4,video
Triceps Dip,Machine,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08141201-Triceps-Dip_Upper-Arms.mp4,video
Triceps Dip (Assisted),Machine,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00191201-Assisted-Triceps-Dip-(kneeling)_Upper-Arms.mp4,video
Triceps Dip (Weighted),Machine,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/17551101-Weighted-Tricep-Dips_Upper-Arms_small.jpg,image
Triceps Extension (Barbell),Barbell,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00921201-Barbell-Seated-Overhead-Triceps-Extension_Upper-Arms.mp4,video
Triceps Extension (Cable),Machine,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01491101-Cable-Alternate-Triceps-Extension_Upper-Arms_small.jpg,image
Triceps Extension (Dumbbell),Dumbbell,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04301201-Dumbbell-Standing-Triceps-Extension_Upper-Arms.mp4,video
Triceps Extension (Machine),Machine,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/10331201-Lever-Triceps-Extension_Upper-Arms.mp4,video
Triceps Extension (Suspension),Suspension,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/11041101-Suspender-Triceps-Extension_Upper-Arms_small.jpg,image
Triceps Kickback (Cable),Machine,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/45661101-Cable-Neutral-Grip-Kickback_Upper-arms_small.jpg,image
Triceps Kickback (Dumbbell),Dumbbell,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03331201-Dumbbell-Kickback_Upper-Arms.mp4,video
Triceps Pressdown,Machine,Triceps,None,None,None
Triceps Pushdown,Machine,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02011201-Cable-Pushdown_Upper-Arms.mp4,video
Triceps Rope Pushdown,Machine,Triceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02001101-Cable-Pushdown-(with-rope-attachment)_Upper-Arms_small.jpg,image
Upright Row (Barbell),Barbell,Traps,"Upper Back, Shoulders",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01211201-Barbell-Upright-Row_Shoulders.mp4,video
Upright Row (Cable),Machine,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02461201-Cable-Upright-Row_shoulder.mp4,video
Upright Row (Dumbbell),Dumbbell,Shoulders,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04371201-Dumbbell-Upright-Row_shoulder.mp4,video
V Up,None,Abdominals,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08251201-V-up_Waist.mp4,video
Walking,None,Cardio,None,None,None
Walking Lunge,None,Quadriceps,"Glutes, Hamstrings",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/14601201-Walking-Lunge-Male_Hips.mp4,video
Walking Lunge (Dumbbell),Dumbbell,Quadriceps,"Glutes, Hamstrings",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/15571201-Dumbbell-Walking-Lunges_Thighs_.mp4,video
Wall Ball,Other,Full Body,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/24581101-Wall-Ball_Thighs_small.jpg,image
Wall Sit,Other,Quadriceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/07341101-Sit-(wall)_Thighs_small.jpg,image
Warm Up,None,Full Body,None,None,None
Wide Pull Up,Machine,Lats,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/14291201-Wide-Grip-Pull-Up_Back.mp4,video
Wrist Roller,Machine,Forearms,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08591101-Wrist-Roller_Forearms_small.jpg,image
Yoga,None,Full Body,None,None,None
Zercher Squat,Barbell,Quadriceps,"Hamstrings, Glutes",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/15451101-Barbell-full-Zercher-Squat_Thighs_small.jpg,image
Zottman Curl (Dumbbell),Dumbbell,Biceps,None,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04391201-Dumbbell-Zottman-Curl_Upper-Arms-FIX.mp4,video
